line_id,bill_id,charge_type,description,quantity_kwh,unit_price,amount
116,BILL-0003-03,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,904,0.0128,11.55
117,BILL-0003-03,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,904,0.007,6.34
118,BILL-0003-03,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,904,0.0081,7.29
119,BILL-0003-03,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.39
120,BILL-0003-03,taxes,ΦΠΑ (6% + 24%),,,43.07
121,BILL-0003-04,energy,Χρέωση Ενέργειας - Προμήθεια,904,0.1038,93.86
122,BILL-0003-04,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),904,0.034,30.77
123,BILL-0003-04,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),904,0.0099,8.95
124,BILL-0003-04,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,904,0.0163,14.72
125,BILL-0003-04,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,904,0.0086,7.74
126,BILL-0003-04,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,904,0.0097,8.76
127,BILL-0003-04,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,5.82
128,BILL-0003-04,taxes,ΦΠΑ (6% + 24%),,,54.8
129,BILL-0003-05,energy,Χρέωση Ενέργειας - Προμήθεια,777,0.1133,88.06
130,BILL-0003-05,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),777,0.0344,26.7
131,BILL-0003-05,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),777,0.0116,8.99
132,BILL-0003-05,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,777,0.0182,14.14
133,BILL-0003-05,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,777,0.0101,7.88
134,BILL-0003-05,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,777,0.0115,8.95
135,BILL-0003-05,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,5.47
136,BILL-0003-05,taxes,ΦΠΑ (6% + 24%),,,55.06
137,BILL-0003-06,energy,Χρέωση Ενέργειας - Προμήθεια,895,0.0838,74.96
138,BILL-0003-06,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),895,0.0257,23.03
139,BILL-0003-06,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),895,0.0077,6.9
140,BILL-0003-06,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,895,0.0131,11.75
141,BILL-0003-06,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,895,0.0068,6.13
142,BILL-0003-06,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,895,0.0078,6.98
143,BILL-0003-06,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.52
144,BILL-0003-06,taxes,ΦΠΑ (6% + 24%),,,40.34
145,BILL-0004-01,energy,Χρέωση Ενέργειας - Προμήθεια,353,0.083,29.29
146,BILL-0004-01,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),353,0.0276,9.74
147,BILL-0004-01,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),353,0.008,2.82
148,BILL-0004-01,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,353,0.0137,4.83
149,BILL-0004-01,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,353,0.0071,2.52
150,BILL-0004-01,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,353,0.0085,3.01
151,BILL-0004-01,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,1.74
152,BILL-0004-01,taxes,ΦΠΑ (6% + 24%),,,18.05
153,BILL-0004-02,energy,Χρέωση Ενέργειας - Προμήθεια,227,0.1146,26.01
154,BILL-0004-02,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),227,0.0373,8.46
155,BILL-0004-02,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),227,0.0109,2.48
156,BILL-0004-02,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,227,0.0189,4.28
157,BILL-0004-02,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,227,0.0103,2.33
158,BILL-0004-02,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,227,0.0116,2.64
159,BILL-0004-02,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,1.56
160,BILL-0004-02,taxes,ΦΠΑ (6% + 24%),,,16.08
161,BILL-0004-03,energy,Χρέωση Ενέργειας - Προμήθεια,461,0.081,37.34
162,BILL-0004-03,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),461,0.0243,11.18
163,BILL-0004-03,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),461,0.0077,3.57
164,BILL-0004-03,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,461,0.0121,5.56
165,BILL-0004-03,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,461,0.007,3.22
166,BILL-0004-03,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,461,0.0074,3.41
167,BILL-0004-03,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,2.15
168,BILL-0004-03,taxes,ΦΠΑ (6% + 24%),,,22.67
169,BILL-0004-04,energy,Χρέωση Ενέργειας - Προμήθεια,542,0.0924,50.09
170,BILL-0004-04,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),542,0.0305,16.54
171,BILL-0004-04,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),542,0.009,4.9
172,BILL-0004-04,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,542,0.0152,8.25
173,BILL-0004-04,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,542,0.0083,4.51
174,BILL-0004-04,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,542,0.0087,4.7
175,BILL-0004-04,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.12
176,BILL-0004-04,taxes,ΦΠΑ (6% + 24%),,,31.09
177,BILL-0004-05,energy,Χρέωση Ενέργειας - Προμήθεια,401,0.0903,36.2
178,BILL-0004-05,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),401,0.0298,11.93
179,BILL-0004-05,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),401,0.0086,3.46
180,BILL-0004-05,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,401,0.0141,5.64
181,BILL-0004-05,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,401,0.008,3.22
182,BILL-0004-05,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,401,0.0087,3.48
183,BILL-0004-05,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,2.2
184,BILL-0004-05,taxes,ΦΠΑ (6% + 24%),,,22.78
185,BILL-0004-06,energy,Χρέωση Ενέργειας - Προμήθεια,276,0.1018,28.11
186,BILL-0004-06,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),276,0.0321,8.86
187,BILL-0004-06,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),276,0.0095,2.61
188,BILL-0004-06,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,276,0.0149,4.12
189,BILL-0004-06,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,276,0.0079,2.19
190,BILL-0004-06,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,276,0.0098,2.7
191,BILL-0004-06,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,1.72
192,BILL-0004-06,taxes,ΦΠΑ (6% + 24%),,,15.45
193,BILL-0005-01,energy,Χρέωση Ενέργειας - Προμήθεια,593,0.0869,51.55
194,BILL-0005-01,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),593,0.0278,16.46
195,BILL-0005-01,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),593,0.0085,5.05
196,BILL-0005-01,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,593,0.0134,7.93
197,BILL-0005-01,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,593,0.007,4.16
198,BILL-0005-01,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,593,0.0087,5.17
199,BILL-0005-01,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,2.95
200,BILL-0005-01,taxes,ΦΠΑ (6% + 24%),,,30.66
201,BILL-0005-02,energy,Χρέωση Ενέργειας - Προμήθεια,697,0.0866,60.36
202,BILL-0005-02,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),697,0.0273,19.01
203,BILL-0005-02,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),697,0.0084,5.82
204,BILL-0005-02,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,697,0.0138,9.59
205,BILL-0005-02,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,697,0.0073,5.1
206,BILL-0005-02,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,697,0.0081,5.62
207,BILL-0005-02,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.56
208,BILL-0005-02,taxes,ΦΠΑ (6% + 24%),,,34.16
209,BILL-0005-03,energy,Χρέωση Ενέργειας - Προμήθεια,565,0.1082,61.13
210,BILL-0005-03,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),565,0.0329,18.61
211,BILL-0005-03,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),565,0.0099,5.61
212,BILL-0005-03,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,565,0.0168,9.5
213,BILL-0005-03,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,565,0.0087,4.93
214,BILL-0005-03,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,565,0.0106,5.99
215,BILL-0005-03,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.62
216,BILL-0005-03,taxes,ΦΠΑ (6% + 24%),,,38.01
217,BILL-0005-04,energy,Χρέωση Ενέργειας - Προμήθεια,579,0.1083,62.68
218,BILL-0005-04,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),579,0.0336,19.48
219,BILL-0005-04,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),579,0.0111,6.4
220,BILL-0005-04,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,579,0.0171,9.9
221,BILL-0005-04,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,579,0.0095,5.49
222,BILL-0005-04,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,579,0.0109,6.29
223,BILL-0005-04,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,3.76
224,BILL-0005-04,taxes,ΦΠΑ (6% + 24%),,,42.15
225,BILL-0005-05,energy,Χρέωση Ενέργειας - Προμήθεια,784,0.0945,74.11
226,BILL-0005-05,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),784,0.0304,23.81
227,BILL-0005-05,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),784,0.009,7.02
228,BILL-0005-05,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,784,0.0142,11.16
229,BILL-0005-05,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,784,0.0079,6.21
230,BILL-0005-05,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,784,0.0094,7.38
231,BILL-0005-05,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,4.25
232,BILL-0005-05,taxes,ΦΠΑ (6% + 24%),,,43.93
233,BILL-0005-06,energy,Χρέωση Ενέργειας - Προμήθεια,442,0.1025,45.29
234,BILL-0005-06,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),442,0.0341,15.09
235,BILL-0005-06,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),442,0.0106,4.67
236,BILL-0005-06,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,442,0.0164,7.25
237,BILL-0005-06,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,442,0.0085,3.75
238,BILL-0005-06,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,442,0.0102,4.51
239,BILL-0005-06,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,2.82
240,BILL-0005-06,taxes,ΦΠΑ (6% + 24%),,,28.46
241,BILL-0006-01,energy,Χρέωση Ενέργειας - Προμήθεια,296,0.1155,34.2
242,BILL-0006-01,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),296,0.035,10.37
243,BILL-0006-01,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),296,0.0111,3.3
244,BILL-0006-01,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,296,0.0166,4.92
245,BILL-0006-01,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,296,0.0096,2.84
246,BILL-0006-01,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,296,0.0105,3.12
247,BILL-0006-01,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,2
248,BILL-0006-01,taxes,ΦΠΑ (6% + 24%),,,18.01
249,BILL-0006-02,energy,Χρέωση Ενέργειας - Προμήθεια,265,0.1011,26.8
250,BILL-0006-02,regulated,Ρυθμιζόμενες Χρεώσεις ΔΕΔΔΗΕ (Διανομή),265,0.0337,8.92
251,BILL-0006-02,regulated,Ρυθμιζόμενες Χρεώσεις ΑΔΜΗΕ (Μεταφορά),265,0.0102,2.69
252,BILL-0006-02,regulated,ΥΚΩ - Υπηρεσίες Κοινής Ωφέλειας,265,0.0162,4.3
253,BILL-0006-02,regulated,ΕΤΜΕΑΡ - Τέλος ΑΠΕ,265,0.009,2.38
254,BILL-0006-02,taxes,ΕΦΚ - Ειδικός Φόρος Κατανάλωσης,265,0.0103,2.73
255,BILL-0006-02,taxes,Δημοτικά Τέλη / Δημοτικός Φόρος,,,1.61
256,BILL-0006-02,taxes,ΦΠΑ (6% + 24%),,,16.27
257,BILL-0006-03,energy,Χρέωση Ενέργειας - Προμήθεια,333,0.103,34.3
