bill_id,issue_date,period_from,period_to,customer_id,contract_id,account_id,supply_number,meter_id,tariff_code,total_amount
BILL-0010-03,2024-07-07,2024-05-01,2024-06-30,CUST-0010,CONTR-250207,ACC-498737,68618405678,M21371176,ΕΛΤΑ Ενέργεια Οικιακό,158.97
BILL-0010-04,2024-09-11,2024-07-01,2024-08-31,CUST-0010,CONTR-250207,ACC-498737,68618405678,M21371176,ΕΛΤΑ Ενέργεια Οικιακό,218.4
BILL-0010-05,2024-11-07,2024-09-01,2024-10-31,CUST-0010,CONTR-250207,ACC-498737,68618405678,M21371176,ΕΛΤΑ Ενέργεια Οικιακό,174.61
BILL-0010-06,2025-01-10,2024-11-01,2024-12-31,CUST-0010,CONTR-250207,ACC-498737,68618405678,M21371176,ΕΛΤΑ Ενέργεια Οικιακό,170.52
BILL-0011-01,2024-03-05,2024-01-01,2024-02-28,CUST-0011,CONTR-454718,ACC-456345,68622115493,M69366041,ΕΛΤΑ Ενέργεια Οικιακό,154.2
BILL-0011-02,2024-05-11,2024-03-01,2024-04-30,CUST-0011,CONTR-454718,ACC-456345,68622115493,M69366041,ΕΛΤΑ Ενέργεια Οικιακό,145.95
BILL-0011-03,2024-07-07,2024-05-01,2024-06-30,CUST-0011,CONTR-454718,ACC-456345,68622115493,M69366041,ΕΛΤΑ Ενέργεια Οικιακό,128.52
BILL-0011-04,2024-09-07,2024-07-01,2024-08-31,CUST-0011,CONTR-454718,ACC-456345,68622115493,M69366041,ΕΛΤΑ Ενέργεια Οικιακό,172.2
BILL-0011-05,2024-11-08,2024-09-01,2024-10-31,CUST-0011,CONTR-454718,ACC-456345,68622115493,M69366041,ΕΛΤΑ Ενέργεια Οικιακό,134.85
BILL-0011-06,2025-01-11,2024-11-01,2024-12-31,CUST-0011,CONTR-454718,ACC-456345,68622115493,M69366041,ΕΛΤΑ Ενέργεια Οικιακό,135.32
BILL-0012-01,2024-03-06,2024-01-01,2024-02-28,CUST-0012,CONTR-566680,ACC-495736,68787665775,M10675092,ΔΕΗ myHome Online,119.85
BILL-0012-02,2024-05-08,2024-03-01,2024-04-30,CUST-0012,CONTR-566680,ACC-495736,68787665775,M10675092,ΔΕΗ myHome Online,137.34
BILL-0012-03,2024-07-11,2024-05-01,2024-06-30,CUST-0012,CONTR-566680,ACC-495736,68787665775,M10675092,ΔΕΗ myHome Online,171.78
BILL-0012-04,2024-09-09,2024-07-01,2024-08-31,CUST-0012,CONTR-566680,ACC-495736,68787665775,M10675092,ΔΕΗ myHome Online,155.2
BILL-0012-05,2024-11-09,2024-09-01,2024-10-31,CUST-0012,CONTR-566680,ACC-495736,68787665775,M10675092,ΔΕΗ myHome Online,180.6
BILL-0012-06,2025-01-06,2024-11-01,2024-12-31,CUST-0012,CONTR-566680,ACC-495736,68787665775,M10675092,ΔΕΗ myHome Online,143.83
BILL-0013-01,2024-03-11,2024-01-01,2024-02-28,CUST-0013,CONTR-113732,ACC-696929,68101155710,M53078415,Zenith Οικιακό,68.4
BILL-0013-02,2024-05-09,2024-03-01,2024-04-30,CUST-0013,CONTR-113732,ACC-696929,68101155710,M53078415,Zenith Οικιακό,56.48
BILL-0013-03,2024-07-07,2024-05-01,2024-06-30,CUST-0013,CONTR-113732,ACC-696929,68101155710,M53078415,Zenith Οικιακό,99
BILL-0013-04,2024-09-08,2024-07-01,2024-08-31,CUST-0013,CONTR-113732,ACC-696929,68101155710,M53078415,Zenith Οικιακό,81.9
BILL-0013-05,2024-11-05,2024-09-01,2024-10-31,CUST-0013,CONTR-113732,ACC-696929,68101155710,M53078415,Zenith Οικιακό,105.63
BILL-0013-06,2025-01-11,2024-11-01,2024-12-31,CUST-0013,CONTR-113732,ACC-696929,68101155710,M53078415,Zenith Οικιακό,64.48
BILL-0014-01,2024-03-05,2024-01-01,2024-02-28,CUST-0014,CONTR-839537,ACC-386039,68440179215,M89316393,Elpedison Home Basic,82.6
BILL-0014-02,2024-05-07,2024-03-01,2024-04-30,CUST-0014,CONTR-839537,ACC-386039,68440179215,M89316393,Elpedison Home Basic,85.28
BILL-0014-03,2024-07-08,2024-05-01,2024-06-30,CUST-0014,CONTR-839537,ACC-386039,68440179215,M89316393,Elpedison Home Basic,121.86
BILL-0014-04,2024-09-10,2024-07-01,2024-08-31,CUST-0014,CONTR-839537,ACC-386039,68440179215,M89316393,Elpedison Home Basic,143.65
BILL-0014-05,2024-11-11,2024-09-01,2024-10-31,CUST-0014,CONTR-839537,ACC-386039,68440179215,M89316393,Elpedison Home Basic,124.44
BILL-0014-06,2025-01-08,2024-11-01,2024-12-31,CUST-0014,CONTR-839537,ACC-386039,68440179215,M89316393,Elpedison Home Basic,134.9
BILL-0015-01,2024-03-07,2024-01-01,2024-02-28,CUST-0015,CONTR-555427,ACC-446512,68274453847,M33567827,Elpedison Home Basic,93.06
BILL-0015-02,2024-05-06,2024-03-01,2024-04-30,CUST-0015,CONTR-555427,ACC-446512,68274453847,M33567827,Elpedison Home Basic,61.8
BILL-0015-03,2024-07-10,2024-05-01,2024-06-30,CUST-0015,CONTR-555427,ACC-446512,68274453847,M33567827,Elpedison Home Basic,76.35
BILL-0015-04,2024-09-08,2024-07-01,2024-08-31,CUST-0015,CONTR-555427,ACC-446512,68274453847,M33567827,Elpedison Home Basic,127
BILL-0015-05,2024-11-10,2024-09-01,2024-10-31,CUST-0015,CONTR-555427,ACC-446512,68274453847,M33567827,Elpedison Home Basic,88.32
BILL-0015-06,2025-01-09,2024-11-01,2024-12-31,CUST-0015,CONTR-555427,ACC-446512,68274453847,M33567827,Elpedison Home Basic,86.26
BILL-0016-01,2024-03-10,2024-01-01,2024-02-28,CUST-0016,CONTR-756870,ACC-739929,68154504008,M55765169,Protergia Home,112.14
BILL-0016-02,2024-05-05,2024-03-01,2024-04-30,CUST-0016,CONTR-756870,ACC-739929,68154504008,M55765169,Protergia Home,80.7
BILL-0016-03,2024-07-08,2024-05-01,2024-06-30,CUST-0016,CONTR-756870,ACC-739929,68154504008,M55765169,Protergia Home,139
BILL-0016-04,2024-09-08,2024-07-01,2024-08-31,CUST-0016,CONTR-756870,ACC-739929,68154504008,M55765169,Protergia Home,202.65
BILL-0016-05,2024-11-09,2024-09-01,2024-10-31,CUST-0016,CONTR-756870,ACC-739929,68154504008,M55765169,Protergia Home,138.89
BILL-0016-06,2025-01-05,2024-11-01,2024-12-31,CUST-0016,CONTR-756870,ACC-739929,68154504008,M55765169,Protergia Home,102.15
BILL-0017-01,2024-03-10,2024-01-01,2024-02-28,CUST-0017,CONTR-675384,ACC-346846,68971957245,M72920049,NRG Οικιακό,142.56
BILL-0017-02,2024-05-09,2024-03-01,2024-04-30,CUST-0017,CONTR-675384,ACC-346846,68971957245,M72920049,NRG Οικιακό,126.88
BILL-0017-03,2024-07-09,2024-05-01,2024-06-30,CUST-0017,CONTR-675384,ACC-346846,68971957245,M72920049,NRG Οικιακό,151.2
BILL-0017-04,2024-09-11,2024-07-01,2024-08-31,CUST-0017,CONTR-675384,ACC-346846,68971957245,M72920049,NRG Οικιακό,211.66
BILL-0017-05,2024-11-05,2024-09-01,2024-10-31,CUST-0017,CONTR-675384,ACC-346846,68971957245,M72920049,NRG Οικιακό,219.4
BILL-0017-06,2025-01-07,2024-11-01,2024-12-31,CUST-0017,CONTR-675384,ACC-346846,68971957245,M72920049,NRG Οικιακό,142.05
BILL-0018-01,2024-03-05,2024-01-01,2024-02-28,CUST-0018,CONTR-736201,ACC-579895,68954161924,M46430550,Watt+Volt Home,72.2
BILL-0018-02,2024-05-09,2024-03-01,2024-04-30,CUST-0018,CONTR-736201,ACC-579895,68954161924,M46430550,Watt+Volt Home,61.92
BILL-0018-03,2024-07-07,2024-05-01,2024-06-30,CUST-0018,CONTR-736201,ACC-579895,68954161924,M46430550,Watt+Volt Home,94.71
BILL-0018-04,2024-09-07,2024-07-01,2024-08-31,CUST-0018,CONTR-736201,ACC-579895,68954161924,M46430550,Watt+Volt Home,99.62
BILL-0018-05,2024-11-09,2024-09-01,2024-10-31,CUST-0018,CONTR-736201,ACC-579895,68954161924,M46430550,Watt+Volt Home,98.12
BILL-0018-06,2025-01-11,2024-11-01,2024-12-31,CUST-0018,CONTR-736201,ACC-579895,68954161924,M46430550,Watt+Volt Home,93.45
BILL-0019-01,2024-03-06,2024-01-01,2024-02-28,CUST-0019,CONTR-890600,ACC-228097,68087813283,M69243240,Watt+Volt Home,131.58
BILL-0019-02,2024-05-11,2024-03-01,2024-04-30,CUST-0019,CONTR-890600,ACC-228097,68087813283,M69243240,Watt+Volt Home,159.03
BILL-0019-03,2024-07-06,2024-05-01,2024-06-30,CUST-0019,CONTR-890600,ACC-228097,68087813283,M69243240,Watt+Volt Home,134.88
BILL-0019-04,2024-09-08,2024-07-01,2024-08-31,CUST-0019,CONTR-890600,ACC-228097,68087813283,M69243240,Watt+Volt Home,159.88
BILL-0019-05,2024-11-11,2024-09-01,2024-10-31,CUST-0019,CONTR-890600,ACC-228097,68087813283,M69243240,Watt+Volt Home,133.14
BILL-0019-06,2025-01-07,2024-11-01,2024-12-31,CUST-0019,CONTR-890600,ACC-228097,68087813283,M69243240,Watt+Volt Home,214.72
BILL-0020-01,2024-03-07,2024-01-01,2024-02-28,CUST-0020,CONTR-813636,ACC-297854,68006490106,M36015652,Ήρων Οικιακό,66.08
BILL-0020-02,2024-05-11,2024-03-01,2024-04-30,CUST-0020,CONTR-813636,ACC-297854,68006490106,M36015652,Ήρων Οικιακό,71.57
BILL-0020-03,2024-07-11,2024-05-01,2024-06-30,CUST-0020,CONTR-813636,ACC-297854,68006490106,M36015652,Ήρων Οικιακό,99.37
BILL-0020-04,2024-09-09,2024-07-01,2024-08-31,CUST-0020,CONTR-813636,ACC-297854,68006490106,M36015652,Ήρων Οικιακό,138.8
BILL-0020-05,2024-11-11,2024-09-01,2024-10-31,CUST-0020,CONTR-813636,ACC-297854,68006490106,M36015652,Ήρων Οικιακό,91.98
BILL-0020-06,2025-01-11,2024-11-01,2024-12-31,CUST-0020,CONTR-813636,ACC-297854,68006490106,M36015652,Ήρων Οικιακό,70.28
BILL-0021-01,2024-03-07,2024-01-01,2024-02-28,CUST-0021,CONTR-242281,ACC-853040,68886853433,M53437853,Ήρων Οικιακό,104.04
BILL-0021-02,2024-05-07,2024-03-01,2024-04-30,CUST-0021,CONTR-242281,ACC-853040,68886853433,M53437853,Ήρων Οικιακό,94.88
BILL-0021-03,2024-07-09,2024-05-01,2024-06-30,CUST-0021,CONTR-242281,ACC-853040,68886853433,M53437853,Ήρων Οικιακό,105.84
BILL-0021-04,2024-09-10,2024-07-01,2024-08-31,CUST-0021,CONTR-242281,ACC-853040,68886853433,M53437853,Ήρων Οικιακό,138.56
BILL-0021-05,2024-11-10,2024-09-01,2024-10-31,CUST-0021,CONTR-242281,ACC-853040,68886853433,M53437853,Ήρων Οικιακό,153.78
BILL-0021-06,2025-01-09,2024-11-01,2024-12-31,CUST-0021,CONTR-242281,ACC-853040,68886853433,M53437853,Ήρων Οικιακό,104.69
BILL-0022-01,2024-03-05,2024-01-01,2024-02-28,CUST-0022,CONTR-942296,ACC-278985,68231363944,M51207985,ΔΕΗ Γ1Ν,121.2
BILL-0022-02,2024-05-09,2024-03-01,2024-04-30,CUST-0022,CONTR-942296,ACC-278985,68231363944,M51207985,ΔΕΗ Γ1Ν,94.36
BILL-0022-03,2024-07-10,2024-05-01,2024-06-30,CUST-0022,CONTR-942296,ACC-278985,68231363944,M51207985,ΔΕΗ Γ1Ν,140.16
BILL-0022-04,2024-09-10,2024-07-01,2024-08-31,CUST-0022,CONTR-942296,ACC-278985,68231363944,M51207985,ΔΕΗ Γ1Ν,179.52
BILL-0022-05,2024-11-09,2024-09-01,2024-10-31,CUST-0022,CONTR-942296,ACC-278985,68231363944,M51207985,ΔΕΗ Γ1Ν,183.8
BILL-0022-06,2025-01-07,2024-11-01,2024-12-31,CUST-0022,CONTR-942296,ACC-278985,68231363944,M51207985,ΔΕΗ Γ1Ν,136.23
BILL-0023-01,2024-03-09,2024-01-01,2024-02-28,CUST-0023,CONTR-325822,ACC-957627,68494783846,M49081439,Watt+Volt Home,104.02
BILL-0023-02,2024-05-06,2024-03-01,2024-04-30,CUST-0023,CONTR-325822,ACC-957627,68494783846,M49081439,Watt+Volt Home,134.1
BILL-0023-03,2024-07-11,2024-05-01,2024-06-30,CUST-0023,CONTR-325822,ACC-957627,68494783846,M49081439,Watt+Volt Home,110.18
BILL-0023-04,2024-09-10,2024-07-01,2024-08-31,CUST-0023,CONTR-325822,ACC-957627,68494783846,M49081439,Watt+Volt Home,216.8
BILL-0023-05,2024-11-11,2024-09-01,2024-10-31,CUST-0023,CONTR-325822,ACC-957627,68494783846,M49081439,Watt+Volt Home,159.8
BILL-0023-06,2025-01-09,2024-11-01,2024-12-31,CUST-0023,CONTR-325822,ACC-957627,68494783846,M49081439,Watt+Volt Home,132
BILL-0024-01,2024-03-09,2024-01-01,2024-02-28,CUST-0024,CONTR-174418,ACC-634564,68297053917,M04411477,Watt+Volt Home,128.7
BILL-0024-02,2024-05-07,2024-03-01,2024-04-30,CUST-0024,CONTR-174418,ACC-634564,68297053917,M04411477,Watt+Volt Home,118.56
BILL-0024-03,2024-07-06,2024-05-01,2024-06-30,CUST-0024,CONTR-174418,ACC-634564,68297053917,M04411477,Watt+Volt Home,137.1
BILL-0024-04,2024-09-05,2024-07-01,2024-08-31,CUST-0024,CONTR-174418,ACC-634564,68297053917,M04411477,Watt+Volt Home,212.8
BILL-0024-05,2024-11-09,2024-09-01,2024-10-31,CUST-0024,CONTR-174418,ACC-634564,68297053917,M04411477,Watt+Volt Home,215.46
BILL-0024-06,2025-01-10,2024-11-01,2024-12-31,CUST-0024,CONTR-174418,ACC-634564,68297053917,M04411477,Watt+Volt Home,209.16
BILL-0025-01,2024-03-06,2024-01-01,2024-02-28,CUST-0025,CONTR-881882,ACC-533281,68528076807,M24400968,NRG Οικιακό,97.65
BILL-0025-02,2024-05-11,2024-03-01,2024-04-30,CUST-0025,CONTR-881882,ACC-533281,68528076807,M24400968,NRG Οικιακό,104.94
BILL-0025-03,2024-07-07,2024-05-01,2024-06-30,CUST-0025,CONTR-881882,ACC-533281,68528076807,M24400968,NRG Οικιακό,115.09
BILL-0025-04,2024-09-05,2024-07-01,2024-08-31,CUST-0025,CONTR-881882,ACC-533281,68528076807,M24400968,NRG Οικιακό,203.49
BILL-0025-05,2024-11-07,2024-09-01,2024-10-31,CUST-0025,CONTR-881882,ACC-533281,68528076807,M24400968,NRG Οικιακό,135.72
BILL-0025-06,2025-01-07,2024-11-01,2024-12-31,CUST-0025,CONTR-881882,ACC-533281,68528076807,M24400968,NRG Οικιακό,93.66
BILL-0026-01,2024-03-05,2024-01-01,2024-02-28,CUST-0026,CONTR-783740,ACC-912013,68994701850,M93558527,NRG Οικιακό,76.5
BILL-0026-02,2024-05-06,2024-03-01,2024-04-30,CUST-0026,CONTR-783740,ACC-912013,68994701850,M93558527,NRG Οικιακό,56.84
BILL-0026-03,2024-07-07,2024-05-01,2024-06-30,CUST-0026,CONTR-783740,ACC-912013,68994701850,M93558527,NRG Οικιακό,97.86
BILL-0026-04,2024-09-05,2024-07-01,2024-08-31,CUST-0026,CONTR-783740,ACC-912013,68994701850,M93558527,NRG Οικιακό,104.76
BILL-0026-05,2024-11-07,2024-09-01,2024-10-31,CUST-0026,CONTR-783740,ACC-912013,68994701850,M93558527,NRG Οικιακό,93.29
BILL-0026-06,2025-01-11,2024-11-01,2024-12-31,CUST-0026,CONTR-783740,ACC-912013,68994701850,M93558527,NRG Οικιακό,80.75
BILL-0027-01,2024-03-05,2024-01-01,2024-02-28,CUST-0027,CONTR-124082,ACC-840149,68493069137,M53451600,ΔΕΗ Γ1Ν,165.88
BILL-0027-02,2024-05-10,2024-03-01,2024-04-30,CUST-0027,CONTR-124082,ACC-840149,68493069137,M53451600,ΔΕΗ Γ1Ν,108.15
BILL-0027-03,2024-07-07,2024-05-01,2024-06-30,CUST-0027,CONTR-124082,ACC-840149,68493069137,M53451600,ΔΕΗ Γ1Ν,154.62
BILL-0027-04,2024-09-10,2024-07-01,2024-08-31,CUST-0027,CONTR-124082,ACC-840149,68493069137,M53451600,ΔΕΗ Γ1Ν,269.43
BILL-0027-05,2024-11-05,2024-09-01,2024-10-31,CUST-0027,CONTR-124082,ACC-840149,68493069137,M53451600,ΔΕΗ Γ1Ν,175.27
BILL-0027-06,2025-01-09,2024-11-01,2024-12-31,CUST-0027,CONTR-124082,ACC-840149,68493069137,M53451600,ΔΕΗ Γ1Ν,127.12
BILL-0028-01,2024-03-06,2024-01-01,2024-02-28,CUST-0028,CONTR-300474,ACC-231777,68326498670,M53336696,Watt+Volt Home,99.22
BILL-0028-02,2024-05-07,2024-03-01,2024-04-30,CUST-0028,CONTR-300474,ACC-231777,68326498670,M53336696,Watt+Volt Home,81.84
BILL-0028-03,2024-07-05,2024-05-01,2024-06-30,CUST-0028,CONTR-300474,ACC-231777,68326498670,M53336696,Watt+Volt Home,91.8
BILL-0028-04,2024-09-11,2024-07-01,2024-08-31,CUST-0028,CONTR-300474,ACC-231777,68326498670,M53336696,Watt+Volt Home,109.12
BILL-0028-05,2024-11-06,2024-09-01,2024-10-31,CUST-0028,CONTR-300474,ACC-231777,68326498670,M53336696,Watt+Volt Home,86.56
BILL-0028-06,2025-01-07,2024-11-01,2024-12-31,CUST-0028,CONTR-300474,ACC-231777,68326498670,M53336696,Watt+Volt Home,81.43
BILL-0029-01,2024-03-06,2024-01-01,2024-02-28,CUST-0029,CONTR-929583,ACC-569936,68905638414,M59787373,Ήρων Οικιακό,123.48
BILL-0029-02,2024-05-10,2024-03-01,2024-04-30,CUST-0029,CONTR-929583,ACC-569936,68905638414,M59787373,Ήρων Οικιακό,136.98
BILL-0029-03,2024-07-11,2024-05-01,2024-06-30,CUST-0029,CONTR-929583,ACC-569936,68905638414,M59787373,Ήρων Οικιακό,228.8
BILL-0029-04,2024-09-09,2024-07-01,2024-08-31,CUST-0029,CONTR-929583,ACC-569936,68905638414,M59787373,Ήρων Οικιακό,206.7
BILL-0029-05,2024-11-11,2024-09-01,2024-10-31,CUST-0029,CONTR-929583,ACC-569936,68905638414,M59787373,Ήρων Οικιακό,198.8
BILL-0029-06,2025-01-05,2024-11-01,2024-12-31,CUST-0029,CONTR-929583,ACC-569936,68905638414,M59787373,Ήρων Οικιακό,164.16
BILL-0030-01,2024-03-11,2024-01-01,2024-02-28,CUST-0030,CONTR-158898,ACC-337350,68954762741,M95169295,Zenith Οικιακό,115.71
BILL-0030-02,2024-05-06,2024-03-01,2024-04-30,CUST-0030,CONTR-158898,ACC-337350,68954762741,M95169295,Zenith Οικιακό,119
BILL-0030-03,2024-07-10,2024-05-01,2024-06-30,CUST-0030,CONTR-158898,ACC-337350,68954762741,M95169295,Zenith Οικιακό,121.79
BILL-0030-04,2024-09-09,2024-07-01,2024-08-31,CUST-0030,CONTR-158898,ACC-337350,68954762741,M95169295,Zenith Οικιακό,189.24
